Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-41.290000,-22.020000,180.000000,bottom
"C2","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-34.050000,-8.300000,180.000000,bottom
"C3","10uF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",-32.300000,-15.100000,90.000000,bottom
"C4","10uF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",-34.100000,-5.800000,180.000000,bottom
"C5","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-46.450000,-11.350000,-90.000000,bottom
"C6","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-50.550000,-11.450000,90.000000,bottom
"C7","10uF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",-33.800000,-23.700000,90.000000,bottom
"C8","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-36.040000,-17.500000,90.000000,bottom
"D1","D_TVS","D_SMB_Handsoldering",-9.270000,-24.610000,0.000000,bottom
"L1","3.3uH","L_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-37.000000,-10.400000,180.000000,bottom
"Q1","Q_PNP_BEC","SOT-23_Handsoldering",-37.900000,-13.550000,180.000000,bottom
"R3","20k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",-43.150000,-12.150000,180.000000,bottom
"R4","8.2k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",-43.150000,-10.150000,0.000000,bottom
"R5","100","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",-48.550000,-11.450000,-90.000000,bottom
"R6","100","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",-52.550000,-11.450000,-90.000000,bottom
"R8","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",-39.510000,-17.550000,90.000000,bottom
"U1","HX711","SOP-16_3.9x9.9mm_P1.27mm",-45.950000,-17.150000,-90.000000,bottom
"U2","SRV05-4","SOT-23-6",-18.200000,-25.100000,-90.000000,bottom
